"","population","family","body","sub","mid","ilab","slab","post"
"231","INLAND","713",165,80,19,20,16,6
"232","INLAND","713",166,76,19,20,16,6
"233","INLAND","713",166,78,21,20,16,6
"234","INLAND","713",166,80,21,24,16,6
"235","INLAND","713",166,81,21,20,16,6
"236","INLAND","713",167,78,21,20,16,6
"237","INLAND","713",168,79,21,20,16,7
"238","INLAND","720",160,79,19,20,16,6
"239","INLAND","720",161,81,21,20,16,4
"240","INLAND","720",163,78,21,20,16,6
"241","INLAND","720",164,76,21,20,16,4
"242","INLAND","720",165,78,21,19,15,6
"243","INLAND","720",165,80,21,20,15,6
"244","INLAND","720",165,80,21,20,16,5
"245","INLAND","720",170,77,19,19,15,4
"246","INLAND","724",166,NA,21,19,16,6
"247","INLAND","724",162,81,21,20,15,7
"248","INLAND","724",165,83,21,20,16,5
"249","INLAND","724",166,83,21,20,16,6
"250","INLAND","724",165,78,19,21,16,6
"251","INLAND","724",167,78,21,20,14,6
"252","INLAND","724",167,77,21,20,14,6
"253","INLAND","724",169,84,21,20,16,7
"254","INLAND","729",164,82,21,20,16,6
"255","INLAND","729",164,80,21,20,16,4
"256","INLAND","729",165,77,21,19,16,4
"257","INLAND","737",166,NA,21,20,16,6
"258","INLAND","737",163,NA,21,20,16,6
"259","INLAND","737",164,80,21,20,16,6
"260","INLAND","737",167,75,21,20,16,6
"261","INLAND","737",167,80,21,20,16,6
"262","INLAND","737",167,81,21,20,16,6
"263","INLAND","737",168,75,21,20,16,6
"264","INLAND","737",169,77,21,20,16,7
"265","INLAND","737",169,79,21,20,16,6
"266","INLAND","737",169,80,21,20,16,6
"267","INLAND","895",165,80,19,20,16,7
"268","INLAND","895",161,84,21,20,16,8
"269","INLAND","895",163,76,19,20,16,5
"270","INLAND","895",164,79,21,20,16,8
"271","INLAND","895",166,81,21,20,16,7
"272","INLAND","895",170,78,19,20,16,8
"273","INLAND","895",173,84,21,20,16,7
"274","INLAND","896",168,84,21,20,16,6
"275","INLAND","896",164,89,21,20,15,6
"276","INLAND","896",165,84,21,20,16,6
"277","INLAND","896",167,81,21,20,16,6
"278","INLAND","896",167,88,21,19,16,6
"279","INLAND","896",168,86,21,20,16,6
"280","INLAND","896",169,84,21,20,16,6
"281","INLAND","896",169,85,21,20,16,6
"282","INLAND","905",164,78,21,20,16,6
"283","INLAND","905",160,82,21,20,16,6
"284","INLAND","905",163,80,21,20,16,6
"285","INLAND","905",160,77,21,20,16,6
"286","INLAND","905",161,83,21,21,15,6
"287","INLAND","905",162,77,21,20,16,6
"288","INLAND","905",167,78,21,20,16,6
"289","INLAND","911",162,82,21,20,16,6
"290","INLAND","911",165,80,21,20,16,6
